"id","created_at","name","email","address","city","state","zip","birth_date","source"
1,2017-10-07 01:34:35,Hudson Borer,borer-hudson@yahoo.com,"9611-9809 West Rosedale Road",Wood River,NE,"68883","1986-12-12",Twitter
2,2018-04-09 12:10:05,Domenica Williamson,williamson-domenica@yahoo.com,"101 4th Street",Searsboro,IA,"50242","1967-06-10",Affiliate
3,2017-06-27 06:06:20,Lina Heaney,lina.heaney@yahoo.com,"29494 Anderson Drive",Sandstone,MN,"55072","1961-12-18",Facebook
4,2019-02-21 13:59:15,Arnold Adams,adams.arnold@gmail.com,"2-7900 Cuerno Verde Road",Rye,CO,"81069","1992-08-12",Google
5,2017-09-05 03:36:44,Dominique Leffler,leffler.dominique@hotmail.com,"761 Fish Hill Road",Beaver Dams,NY,"14812","1974-04-20",Twitter
6,2016-09-22 10:08:29,Rene Muller,rene.muller@gmail.com,"1243 West Whitney Street",Morse,LA,"70559","1983-03-27",Google
7,2018-05-24 06:18:20,Roselyn Bosco,bosco.roselyn@hotmail.com,"630 Coaker Road",Leakesville,MS,"39451","1996-01-19",Facebook
8,2017-08-18 02:55:11,Aracely Jenkins,aracely.jenkins@gmail.com,"1167 East 570th Avenue",Pittsburg,KS,"66762","1973-06-05",Facebook
9,2018-10-13 23:52:56,Anais Ward,ward.anais@gmail.com,"5816-5894 280th Street",Ida Grove,IA,"51445","1999-10-16",Twitter
10,2018-08-16 12:16:30,Tressa White,white.tressa@yahoo.com,"13081-13217 Main Street",Upper Sandusky,OH,"43351","1968-01-13",Google
11,2018-03-19 07:17:22,Lolita Schaefer,schaefer-lolita@hotmail.com,"495 Juniper Road",Pilot Mound,IA,"50223","1982-08-20",Facebook
12,2018-06-27 17:25:24,Ciara Larson,ciara-larson@hotmail.com,"16701-16743 449th Avenue",Florence,SD,"57235","1982-12-16",Facebook
13,2017-09-21 16:21:06,Mustafa Thiel,mustafa.thiel@hotmail.com,"2993 Hoskings Ranch Road",Santa Ysabel,CA,"92070","1963-07-20",Facebook
14,2018-06-17 23:29:39,Lavonne Senger,senger.lavonne@yahoo.com,"3964 Chico River Road",Chico,CA,"95928","1963-09-22",Facebook
15,2018-12-20 17:50:32,Bertrand Romaguera,romaguera.bertrand@gmail.com,"258 Opal Road",El Paso,AR,"72045","2000-02-14",Twitter
16,2016-05-14 23:44:56,Khalid Pouros,khalid-pouros@yahoo.com,"3234 County Road 7",Greensboro,AL,"36744","1961-09-16",Google
17,2017-03-05 20:38:57,Lora Cronin,lora-cronin@gmail.com,"6111 Rogue Riv",Gold Beach,OR,"97444","1990-02-16",Organic
18,2017-04-25 20:11:39,Arely Pollich,pollich-arely@yahoo.com,"13116 Northeast Sandy Boulevard",Portland,OR,"97230","1990-06-27",Affiliate
19,2018-12-03 07:27:47,Wyman Kertzmann,wyman-kertzmann@gmail.com,"1460 Grays Creek Road",Grants Pass,OR,"97527","1975-07-23",Affiliate
20,2018-10-12 23:32:17,John Aufderhar,aufderhar.john@yahoo.com,"52737 570th Street",Marne,IA,"51552","1991-10-26",Affiliate
21,2017-06-07 03:02:25,Angela Botsford,angela-botsford@hotmail.com,"2002-2078 North J Road",Phillips,NE,"68865","1999-07-17",Twitter
